"Name","Shape_Leng","Orientatio","lon","lat"
"10",30,"S",-80.1027173200845,26.094326508043
"11A",30,"S",-80.1014028737899,26.0944506625642
"12A",30,"S",-80.0985726871069,26.0944884949676
"13A",30,"S",-80.0958506265676,26.0943915121704
"14A",30,"N",-80.10216245494,26.0927393623623
"15A",30,"N",-80.0979882017656,26.0928320905414
"16A",30,"N",-80.0951753598224,26.0928487482916
"17A",30,"N",-80.0913313962729,26.0929118711108
"1",30,"E",-80.0908941794912,26.0965606034305
"2",30,"E",-80.0884893179421,26.0966796902706
"3",30,"E",-80.0844141458798,26.097006018617
"4",30,"E",-80.0843927976638,26.0966906512632
"5",30,"E",-80.0836708667337,26.0966573988094
"6",30,"E",-80.0830670067269,26.0970097510933
"7",30,"E",-80.0830978935144,26.0966622384104
"8",30,"E",-80.0819341551291,26.0967414015696
"9",30,"E",-80.0819898529506,26.0962652397859
"18",30,"E",-80.1026979396288,26.0907315217294
"19",30,"E",-80.1000182006734,26.0907355653893
"20",30,"E",-80.095738055814,26.0907667375454
"21",30,"E",-80.0938465302752,26.0906841803373
"22",30,"E",-80.0912416966466,26.0910680450345
"23",30,"E",-80.0888304411809,26.0909686404894
"24",30,"E",-80.0850512269367,26.0906229356298
"25",30,"E",-80.0841075926623,26.0910648401017
"26",30,"E",-80.0839446597951,26.0904518016042
"27",30,"E",-80.0829451401389,26.0904454505444
"28",30,"E",-80.0832799626663,26.0898700384406
"29",30,"E",-80.0824407050383,26.0910589558363
"30",30,"E",-80.0823632214783,26.0900709236291
"31",30,"E",-80.1026347241282,26.08944974966
"32",30,"E",-80.1013451550071,26.0896586405228
"33",30,"E",-80.0967117965926,26.0896297056167
"34",30,"E",-80.091266198464,26.0895918196156
"35",30,"E",-80.0850340806087,26.089546773017
"36",30,"E",-80.0841605620713,26.0886479823493
"37",30,"E",-80.0831610524148,26.0886416312904
"38",30,"E",-80.1027114816541,26.0879104924512
"39",30,"E",-80.1005935876138,26.0878487700093
"40",30,"E",-80.0965955789826,26.0878237857749
"41",30,"E",-80.0940948986651,26.0887107028696
