site,taxon,class,n
na1,AAGA,<4cm,0
na1,AAGA,>4cm,0
na1,AFRA,<4cm,0
na1,AFRA,>4cm,0
na1,AGAR,<4cm,0
na1,AGAR,>4cm,0
na1,ALAM,<4cm,0
na1,ALAM,>4cm,0
na1,CNAT,<4cm,0
na1,CNAT,>4cm,0
na1,DLAB,<4cm,0
na1,DLAB,>4cm,0
na1,DSTO,<4cm,0
na1,DSTO,>4cm,0
na1,EFAS,<4cm,0
na1,EFAS,>4cm,0
na1,MADR,<4cm,0
na1,MADR,>4cm,0
na1,MALI,<4cm,0
na1,MALI,>4cm,0
na1,MCAV,<4cm,0
na1,MCAV,>4cm,0
na1,MDEC,<4cm,0
na1,MDEC,>4cm,0
na1,MFER,<4cm,0
na1,MFER,>4cm,0
na1,MMEA,<4cm,0
na1,MMEA,>4cm,0
na1,OFRA,<4cm,0
na1,OFRA,>4cm,0
na1,OROB,<4cm,0
na1,OROB,>4cm,0
na1,PAST,<4cm,0
na1,PAST,>4cm,0
na1,PCLI,<4cm,0
na1,PCLI,>4cm,0
na1,PORI,<4cm,0
na1,PORI,>4cm,0
na1,PPOR,<4cm,0
na1,PPOR,>4cm,0
na1,PSTR,<4cm,0
na1,PSTR,>4cm,0
na1,SBOU,<4cm,0
na1,SBOU,>4cm,0
na1,SIDE,<4cm,0
na1,SIDE,>4cm,0
na1,SINT,<4cm,0
na1,SINT,>4cm,0
na1,SRAD,<4cm,14
na1,SRAD,>4cm,1
na1,SSID,<4cm,6
na1,SSID,>4cm,0
na2,AAGA,<4cm,0
na2,AAGA,>4cm,0
na2,AFRA,<4cm,0
na2,AFRA,>4cm,0
na2,AGAR,<4cm,0
na2,AGAR,>4cm,0
na2,ALAM,<4cm,0
na2,ALAM,>4cm,0
na2,CNAT,<4cm,0
na2,CNAT,>4cm,0
na2,DLAB,<4cm,0
na2,DLAB,>4cm,0
na2,DSTO,<4cm,0
na2,DSTO,>4cm,1
na2,EFAS,<4cm,0
na2,EFAS,>4cm,0
na2,MADR,<4cm,0
na2,MADR,>4cm,0
na2,MALI,<4cm,0
na2,MALI,>4cm,0
na2,MCAV,<4cm,0
na2,MCAV,>4cm,5
na2,MDEC,<4cm,0
na2,MDEC,>4cm,0
na2,MFER,<4cm,0
na2,MFER,>4cm,0
na2,MMEA,<4cm,0
na2,MMEA,>4cm,0
na2,OFRA,<4cm,0
na2,OFRA,>4cm,0
na2,OROB,<4cm,1
na2,OROB,>4cm,0
na2,PAST,<4cm,0
na2,PAST,>4cm,0
na2,PCLI,<4cm,0
na2,PCLI,>4cm,0
na2,PORI,<4cm,0
na2,PORI,>4cm,0
na2,PPOR,<4cm,0
na2,PPOR,>4cm,0
na2,PSTR,<4cm,0
na2,PSTR,>4cm,1
na2,SBOU,<4cm,0
na2,SBOU,>4cm,1
na2,SIDE,<4cm,0
na2,SIDE,>4cm,0
na2,SINT,<4cm,0
na2,SINT,>4cm,1
na2,SRAD,<4cm,1
na2,SRAD,>4cm,0
na2,SSID,<4cm,0
na2,SSID,>4cm,1
na3,AAGA,<4cm,0
na3,AAGA,>4cm,0
na3,AFRA,<4cm,0
na3,AFRA,>4cm,0
na3,AGAR,<4cm,0
na3,AGAR,>4cm,0
na3,ALAM,<4cm,0
na3,ALAM,>4cm,0
na3,CNAT,<4cm,0
na3,CNAT,>4cm,0
na3,DLAB,<4cm,0
na3,DLAB,>4cm,0
na3,DSTO,<4cm,0
na3,DSTO,>4cm,1
na3,EFAS,<4cm,0
na3,EFAS,>4cm,0
na3,MADR,<4cm,0
na3,MADR,>4cm,0
na3,MALI,<4cm,0
na3,MALI,>4cm,0
na3,MCAV,<4cm,0
na3,MCAV,>4cm,4
na3,MDEC,<4cm,0
na3,MDEC,>4cm,0
na3,MFER,<4cm,0
na3,MFER,>4cm,0
na3,MMEA,<4cm,0
na3,MMEA,>4cm,0
na3,OFRA,<4cm,0
na3,OFRA,>4cm,0
na3,OROB,<4cm,0
na3,OROB,>4cm,0
na3,PAST,<4cm,0
na3,PAST,>4cm,0
na3,PCLI,<4cm,0
na3,PCLI,>4cm,0
na3,PORI,<4cm,0
na3,PORI,>4cm,0
na3,PPOR,<4cm,0
na3,PPOR,>4cm,0
na3,PSTR,<4cm,0
na3,PSTR,>4cm,0
na3,SBOU,<4cm,0
na3,SBOU,>4cm,0
na3,SIDE,<4cm,0
na3,SIDE,>4cm,0
na3,SINT,<4cm,0
na3,SINT,>4cm,1
na3,SRAD,<4cm,5
na3,SRAD,>4cm,0
na3,SSID,<4cm,19
na3,SSID,>4cm,0
na4,AAGA,<4cm,0
na4,AAGA,>4cm,0
na4,AFRA,<4cm,0
na4,AFRA,>4cm,0
na4,AGAR,<4cm,0
na4,AGAR,>4cm,0
na4,ALAM,<4cm,0
na4,ALAM,>4cm,0
na4,CNAT,<4cm,0
na4,CNAT,>4cm,0
na4,DLAB,<4cm,0
na4,DLAB,>4cm,0
na4,DSTO,<4cm,0
na4,DSTO,>4cm,0
na4,EFAS,<4cm,0
na4,EFAS,>4cm,0
na4,MADR,<4cm,0
na4,MADR,>4cm,0
na4,MALI,<4cm,0
na4,MALI,>4cm,0
na4,MCAV,<4cm,0
na4,MCAV,>4cm,0
na4,MDEC,<4cm,0
na4,MDEC,>4cm,0
na4,MFER,<4cm,0
na4,MFER,>4cm,0
na4,MMEA,<4cm,0
na4,MMEA,>4cm,0
na4,OFRA,<4cm,0
na4,OFRA,>4cm,0
na4,OROB,<4cm,0
na4,OROB,>4cm,0
na4,PAST,<4cm,0
na4,PAST,>4cm,0
na4,PCLI,<4cm,0
na4,PCLI,>4cm,0
na4,PORI,<4cm,0
na4,PORI,>4cm,0
na4,PPOR,<4cm,2
na4,PPOR,>4cm,1
na4,PSTR,<4cm,0
na4,PSTR,>4cm,0
na4,SBOU,<4cm,0
na4,SBOU,>4cm,0
na4,SIDE,<4cm,0
na4,SIDE,>4cm,0
na4,SINT,<4cm,0
na4,SINT,>4cm,0
na4,SRAD,<4cm,0
na4,SRAD,>4cm,0
na4,SSID,<4cm,50
na4,SSID,>4cm,0
na5,AAGA,<4cm,0
na5,AAGA,>4cm,0
na5,AFRA,<4cm,0
na5,AFRA,>4cm,0
na5,AGAR,<4cm,0
na5,AGAR,>4cm,0
na5,ALAM,<4cm,0
na5,ALAM,>4cm,0
na5,CNAT,<4cm,0
na5,CNAT,>4cm,0
na5,DLAB,<4cm,0
na5,DLAB,>4cm,0
na5,DSTO,<4cm,0
na5,DSTO,>4cm,0
na5,EFAS,<4cm,0
na5,EFAS,>4cm,0
na5,MADR,<4cm,0
na5,MADR,>4cm,0
na5,MALI,<4cm,0
na5,MALI,>4cm,0
na5,MCAV,<4cm,0
na5,MCAV,>4cm,0
na5,MDEC,<4cm,0
na5,MDEC,>4cm,0
na5,MFER,<4cm,0
na5,MFER,>4cm,0
na5,MMEA,<4cm,0
na5,MMEA,>4cm,0
na5,OFRA,<4cm,0
na5,OFRA,>4cm,0
na5,OROB,<4cm,0
na5,OROB,>4cm,0
na5,PAST,<4cm,0
na5,PAST,>4cm,0
na5,PCLI,<4cm,0
na5,PCLI,>4cm,0
na5,PORI,<4cm,0
na5,PORI,>4cm,0
na5,PPOR,<4cm,0
na5,PPOR,>4cm,0
na5,PSTR,<4cm,0
na5,PSTR,>4cm,0
na5,SBOU,<4cm,0
na5,SBOU,>4cm,2
na5,SIDE,<4cm,0
na5,SIDE,>4cm,0
na5,SINT,<4cm,0
na5,SINT,>4cm,0
na5,SRAD,<4cm,6
na5,SRAD,>4cm,0
na5,SSID,<4cm,15
na5,SSID,>4cm,0
na6,AAGA,<4cm,0
na6,AAGA,>4cm,0
na6,AFRA,<4cm,0
na6,AFRA,>4cm,0
na6,AGAR,<4cm,0
na6,AGAR,>4cm,0
na6,ALAM,<4cm,0
na6,ALAM,>4cm,0
na6,CNAT,<4cm,0
na6,CNAT,>4cm,0
na6,DLAB,<4cm,0
na6,DLAB,>4cm,0
na6,DSTO,<4cm,0
na6,DSTO,>4cm,0
na6,EFAS,<4cm,0
na6,EFAS,>4cm,0
na6,MADR,<4cm,0
na6,MADR,>4cm,0
na6,MALI,<4cm,0
na6,MALI,>4cm,0
na6,MCAV,<4cm,0
na6,MCAV,>4cm,0
na6,MDEC,<4cm,0
na6,MDEC,>4cm,0
na6,MFER,<4cm,0
na6,MFER,>4cm,0
na6,MMEA,<4cm,0
na6,MMEA,>4cm,0
na6,OFRA,<4cm,0
na6,OFRA,>4cm,0
na6,OROB,<4cm,0
na6,OROB,>4cm,0
na6,PAST,<4cm,0
na6,PAST,>4cm,0
na6,PCLI,<4cm,0
na6,PCLI,>4cm,0
na6,PORI,<4cm,0
na6,PORI,>4cm,0
na6,PPOR,<4cm,0
na6,PPOR,>4cm,0
na6,PSTR,<4cm,0
na6,PSTR,>4cm,0
na6,SBOU,<4cm,0
na6,SBOU,>4cm,0
na6,SIDE,<4cm,0
na6,SIDE,>4cm,0
na6,SINT,<4cm,0
na6,SINT,>4cm,0
na6,SRAD,<4cm,8
na6,SRAD,>4cm,5
na6,SSID,<4cm,9
na6,SSID,>4cm,1
na7,AAGA,<4cm,0
na7,AAGA,>4cm,0
na7,AFRA,<4cm,0
na7,AFRA,>4cm,0
na7,AGAR,<4cm,0
na7,AGAR,>4cm,0
na7,ALAM,<4cm,0
na7,ALAM,>4cm,0
na7,CNAT,<4cm,0
na7,CNAT,>4cm,0
na7,DLAB,<4cm,0
na7,DLAB,>4cm,0
na7,DSTO,<4cm,0
na7,DSTO,>4cm,0
na7,EFAS,<4cm,0
na7,EFAS,>4cm,0
na7,MADR,<4cm,0
na7,MADR,>4cm,0
na7,MALI,<4cm,0
na7,MALI,>4cm,0
na7,MCAV,<4cm,0
na7,MCAV,>4cm,0
na7,MDEC,<4cm,0
na7,MDEC,>4cm,0
na7,MFER,<4cm,0
na7,MFER,>4cm,0
na7,MMEA,<4cm,0
na7,MMEA,>4cm,0
na7,OFRA,<4cm,0
na7,OFRA,>4cm,0
na7,OROB,<4cm,0
na7,OROB,>4cm,0
na7,PAST,<4cm,0
na7,PAST,>4cm,0
na7,PCLI,<4cm,0
na7,PCLI,>4cm,0
na7,PORI,<4cm,0
na7,PORI,>4cm,0
na7,PPOR,<4cm,0
na7,PPOR,>4cm,0
na7,PSTR,<4cm,0
na7,PSTR,>4cm,0
na7,SBOU,<4cm,0
na7,SBOU,>4cm,1
na7,SIDE,<4cm,0
na7,SIDE,>4cm,0
na7,SINT,<4cm,0
na7,SINT,>4cm,0
na7,SRAD,<4cm,20
na7,SRAD,>4cm,5
na7,SSID,<4cm,38
na7,SSID,>4cm,1
na8,AAGA,<4cm,0
na8,AAGA,>4cm,0
na8,AFRA,<4cm,0
na8,AFRA,>4cm,0
na8,AGAR,<4cm,0
na8,AGAR,>4cm,0
na8,ALAM,<4cm,0
na8,ALAM,>4cm,0
na8,CNAT,<4cm,0
na8,CNAT,>4cm,0
na8,DLAB,<4cm,0
na8,DLAB,>4cm,0
na8,DSTO,<4cm,0
na8,DSTO,>4cm,0
na8,EFAS,<4cm,0
na8,EFAS,>4cm,0
na8,MADR,<4cm,0
na8,MADR,>4cm,0
na8,MALI,<4cm,0
na8,MALI,>4cm,0
na8,MCAV,<4cm,0
na8,MCAV,>4cm,0
na8,MDEC,<4cm,0
na8,MDEC,>4cm,0
na8,MFER,<4cm,0
na8,MFER,>4cm,0
na8,MMEA,<4cm,0
na8,MMEA,>4cm,0
na8,OFRA,<4cm,0
na8,OFRA,>4cm,0
na8,OROB,<4cm,0
na8,OROB,>4cm,0
na8,PAST,<4cm,0
na8,PAST,>4cm,0
na8,PCLI,<4cm,0
na8,PCLI,>4cm,0
na8,PORI,<4cm,1
na8,PORI,>4cm,0
na8,PPOR,<4cm,1
na8,PPOR,>4cm,0
na8,PSTR,<4cm,0
na8,PSTR,>4cm,0
na8,SBOU,<4cm,0
na8,SBOU,>4cm,0
na8,SIDE,<4cm,0
na8,SIDE,>4cm,0
na8,SINT,<4cm,0
na8,SINT,>4cm,0
na8,SRAD,<4cm,27
na8,SRAD,>4cm,0
na8,SSID,<4cm,24
na8,SSID,>4cm,0
nb1,AAGA,<4cm,0
nb1,AAGA,>4cm,0
nb1,AFRA,<4cm,0
nb1,AFRA,>4cm,0
nb1,AGAR,<4cm,0
nb1,AGAR,>4cm,0
nb1,ALAM,<4cm,0
nb1,ALAM,>4cm,0
nb1,CNAT,<4cm,0
nb1,CNAT,>4cm,0
nb1,DLAB,<4cm,0
nb1,DLAB,>4cm,0
nb1,DSTO,<4cm,1
nb1,DSTO,>4cm,2
nb1,EFAS,<4cm,0
nb1,EFAS,>4cm,0
nb1,MADR,<4cm,0
nb1,MADR,>4cm,0
nb1,MALI,<4cm,0
nb1,MALI,>4cm,0
nb1,MCAV,<4cm,2
nb1,MCAV,>4cm,4
nb1,MDEC,<4cm,0
nb1,MDEC,>4cm,0
nb1,MFER,<4cm,0
nb1,MFER,>4cm,0
nb1,MMEA,<4cm,0
nb1,MMEA,>4cm,0
nb1,OFRA,<4cm,0
nb1,OFRA,>4cm,0
nb1,OROB,<4cm,0
nb1,OROB,>4cm,0
nb1,PAST,<4cm,0
nb1,PAST,>4cm,3
nb1,PCLI,<4cm,0
nb1,PCLI,>4cm,0
nb1,PORI,<4cm,0
nb1,PORI,>4cm,0
nb1,PPOR,<4cm,0
nb1,PPOR,>4cm,0
nb1,PSTR,<4cm,0
nb1,PSTR,>4cm,0
nb1,SBOU,<4cm,4
nb1,SBOU,>4cm,2
nb1,SIDE,<4cm,0
nb1,SIDE,>4cm,0
nb1,SINT,<4cm,1
nb1,SINT,>4cm,2
nb1,SRAD,<4cm,2
nb1,SRAD,>4cm,0
nb1,SSID,<4cm,22
nb1,SSID,>4cm,7
nb2,AAGA,<4cm,0
nb2,AAGA,>4cm,1
nb2,AFRA,<4cm,0
nb2,AFRA,>4cm,0
nb2,AGAR,<4cm,0
nb2,AGAR,>4cm,0
nb2,ALAM,<4cm,0
nb2,ALAM,>4cm,0
nb2,CNAT,<4cm,0
nb2,CNAT,>4cm,0
nb2,DLAB,<4cm,0
nb2,DLAB,>4cm,0
nb2,DSTO,<4cm,0
nb2,DSTO,>4cm,0
nb2,EFAS,<4cm,0
nb2,EFAS,>4cm,0
nb2,MADR,<4cm,0
nb2,MADR,>4cm,0
nb2,MALI,<4cm,0
nb2,MALI,>4cm,0
nb2,MCAV,<4cm,3
nb2,MCAV,>4cm,1
nb2,MDEC,<4cm,0
nb2,MDEC,>4cm,0
nb2,MFER,<4cm,0
nb2,MFER,>4cm,0
nb2,MMEA,<4cm,0
nb2,MMEA,>4cm,0
nb2,OFRA,<4cm,0
nb2,OFRA,>4cm,0
nb2,OROB,<4cm,0
nb2,OROB,>4cm,0
nb2,PAST,<4cm,0
nb2,PAST,>4cm,0
nb2,PCLI,<4cm,0
nb2,PCLI,>4cm,0
nb2,PORI,<4cm,0
nb2,PORI,>4cm,0
nb2,PPOR,<4cm,0
nb2,PPOR,>4cm,1
nb2,PSTR,<4cm,0
nb2,PSTR,>4cm,0
nb2,SBOU,<4cm,0
nb2,SBOU,>4cm,0
nb2,SIDE,<4cm,0
nb2,SIDE,>4cm,0
nb2,SINT,<4cm,2
nb2,SINT,>4cm,1
nb2,SRAD,<4cm,0
nb2,SRAD,>4cm,0
nb2,SSID,<4cm,11
nb2,SSID,>4cm,4
nb3,AAGA,<4cm,0
nb3,AAGA,>4cm,0
nb3,AFRA,<4cm,0
nb3,AFRA,>4cm,0
nb3,AGAR,<4cm,0
nb3,AGAR,>4cm,0
nb3,ALAM,<4cm,0
nb3,ALAM,>4cm,0
nb3,CNAT,<4cm,0
nb3,CNAT,>4cm,0
nb3,DLAB,<4cm,0
nb3,DLAB,>4cm,0
nb3,DSTO,<4cm,0
nb3,DSTO,>4cm,1
nb3,EFAS,<4cm,0
