site,taxon,class,n
nb3,EFAS,>4cm,0
nb3,MADR,<4cm,0
nb3,MADR,>4cm,0
nb3,MALI,<4cm,0
nb3,MALI,>4cm,0
nb3,MCAV,<4cm,3
nb3,MCAV,>4cm,3
nb3,MDEC,<4cm,0
nb3,MDEC,>4cm,0
nb3,MFER,<4cm,0
nb3,MFER,>4cm,0
nb3,MMEA,<4cm,1
nb3,MMEA,>4cm,0
nb3,OFRA,<4cm,0
nb3,OFRA,>4cm,0
nb3,OROB,<4cm,0
nb3,OROB,>4cm,0
nb3,PAST,<4cm,0
nb3,PAST,>4cm,0
nb3,PCLI,<4cm,0
nb3,PCLI,>4cm,0
nb3,PORI,<4cm,0
nb3,PORI,>4cm,0
nb3,PPOR,<4cm,0
nb3,PPOR,>4cm,0
nb3,PSTR,<4cm,0
nb3,PSTR,>4cm,0
nb3,SBOU,<4cm,0
nb3,SBOU,>4cm,0
nb3,SIDE,<4cm,0
nb3,SIDE,>4cm,0
nb3,SINT,<4cm,2
nb3,SINT,>4cm,1
nb3,SRAD,<4cm,6
nb3,SRAD,>4cm,0
nb3,SSID,<4cm,11
nb3,SSID,>4cm,1
nb4,AAGA,<4cm,0
nb4,AAGA,>4cm,0
nb4,AFRA,<4cm,0
nb4,AFRA,>4cm,0
nb4,AGAR,<4cm,0
nb4,AGAR,>4cm,0
nb4,ALAM,<4cm,0
nb4,ALAM,>4cm,0
nb4,CNAT,<4cm,0
nb4,CNAT,>4cm,0
nb4,DLAB,<4cm,0
nb4,DLAB,>4cm,0
nb4,DSTO,<4cm,0
nb4,DSTO,>4cm,1
nb4,EFAS,<4cm,0
nb4,EFAS,>4cm,0
nb4,MADR,<4cm,0
nb4,MADR,>4cm,0
nb4,MALI,<4cm,0
nb4,MALI,>4cm,0
nb4,MCAV,<4cm,3
nb4,MCAV,>4cm,0
nb4,MDEC,<4cm,0
nb4,MDEC,>4cm,0
nb4,MFER,<4cm,0
nb4,MFER,>4cm,0
nb4,MMEA,<4cm,0
nb4,MMEA,>4cm,1
nb4,OFRA,<4cm,0
nb4,OFRA,>4cm,0
nb4,OROB,<4cm,0
nb4,OROB,>4cm,0
nb4,PAST,<4cm,0
nb4,PAST,>4cm,0
nb4,PCLI,<4cm,0
nb4,PCLI,>4cm,0
nb4,PORI,<4cm,0
nb4,PORI,>4cm,0
nb4,PPOR,<4cm,1
nb4,PPOR,>4cm,0
nb4,PSTR,<4cm,0
nb4,PSTR,>4cm,0
nb4,SBOU,<4cm,0
nb4,SBOU,>4cm,0
nb4,SIDE,<4cm,0
nb4,SIDE,>4cm,0
nb4,SINT,<4cm,0
nb4,SINT,>4cm,2
nb4,SRAD,<4cm,0
nb4,SRAD,>4cm,0
nb4,SSID,<4cm,3
nb4,SSID,>4cm,1
nb5,AAGA,<4cm,0
nb5,AAGA,>4cm,0
nb5,AFRA,<4cm,0
nb5,AFRA,>4cm,0
nb5,AGAR,<4cm,0
nb5,AGAR,>4cm,0
nb5,ALAM,<4cm,0
nb5,ALAM,>4cm,0
nb5,CNAT,<4cm,0
nb5,CNAT,>4cm,0
nb5,DLAB,<4cm,0
nb5,DLAB,>4cm,1
nb5,DSTO,<4cm,1
nb5,DSTO,>4cm,1
nb5,EFAS,<4cm,0
nb5,EFAS,>4cm,0
nb5,MADR,<4cm,0
nb5,MADR,>4cm,0
nb5,MALI,<4cm,0
nb5,MALI,>4cm,0
nb5,MCAV,<4cm,7
nb5,MCAV,>4cm,3
nb5,MDEC,<4cm,0
nb5,MDEC,>4cm,0
nb5,MFER,<4cm,0
nb5,MFER,>4cm,0
nb5,MMEA,<4cm,0
nb5,MMEA,>4cm,0
nb5,OFRA,<4cm,0
nb5,OFRA,>4cm,0
nb5,OROB,<4cm,0
nb5,OROB,>4cm,0
nb5,PAST,<4cm,1
nb5,PAST,>4cm,2
nb5,PCLI,<4cm,0
nb5,PCLI,>4cm,0
nb5,PORI,<4cm,0
nb5,PORI,>4cm,0
nb5,PPOR,<4cm,1
nb5,PPOR,>4cm,1
nb5,PSTR,<4cm,1
nb5,PSTR,>4cm,1
nb5,SBOU,<4cm,0
nb5,SBOU,>4cm,0
nb5,SIDE,<4cm,0
nb5,SIDE,>4cm,0
nb5,SINT,<4cm,4
nb5,SINT,>4cm,3
nb5,SRAD,<4cm,0
nb5,SRAD,>4cm,0
nb5,SSID,<4cm,61
nb5,SSID,>4cm,1
nb6,AAGA,<4cm,0
nb6,AAGA,>4cm,0
nb6,AFRA,<4cm,0
nb6,AFRA,>4cm,0
nb6,AGAR,<4cm,0
nb6,AGAR,>4cm,0
nb6,ALAM,<4cm,0
nb6,ALAM,>4cm,0
nb6,CNAT,<4cm,0
nb6,CNAT,>4cm,0
nb6,DLAB,<4cm,0
nb6,DLAB,>4cm,0
nb6,DSTO,<4cm,0
nb6,DSTO,>4cm,0
nb6,EFAS,<4cm,0
nb6,EFAS,>4cm,0
nb6,MADR,<4cm,0
nb6,MADR,>4cm,0
nb6,MALI,<4cm,0
nb6,MALI,>4cm,0
nb6,MCAV,<4cm,2
nb6,MCAV,>4cm,1
nb6,MDEC,<4cm,0
nb6,MDEC,>4cm,0
nb6,MFER,<4cm,0
nb6,MFER,>4cm,0
nb6,MMEA,<4cm,0
nb6,MMEA,>4cm,0
nb6,OFRA,<4cm,0
nb6,OFRA,>4cm,0
nb6,OROB,<4cm,0
nb6,OROB,>4cm,0
nb6,PAST,<4cm,0
nb6,PAST,>4cm,0
nb6,PCLI,<4cm,0
nb6,PCLI,>4cm,0
nb6,PORI,<4cm,0
nb6,PORI,>4cm,0
nb6,PPOR,<4cm,0
nb6,PPOR,>4cm,0
nb6,PSTR,<4cm,0
nb6,PSTR,>4cm,0
nb6,SBOU,<4cm,0
nb6,SBOU,>4cm,0
nb6,SIDE,<4cm,0
nb6,SIDE,>4cm,0
nb6,SINT,<4cm,3
nb6,SINT,>4cm,2
nb6,SRAD,<4cm,1
nb6,SRAD,>4cm,0
nb6,SSID,<4cm,2
nb6,SSID,>4cm,0
nb7,AAGA,<4cm,0
nb7,AAGA,>4cm,0
nb7,AFRA,<4cm,0
nb7,AFRA,>4cm,0
nb7,AGAR,<4cm,0
nb7,AGAR,>4cm,0
nb7,ALAM,<4cm,0
nb7,ALAM,>4cm,0
nb7,CNAT,<4cm,0
nb7,CNAT,>4cm,0
nb7,DLAB,<4cm,0
nb7,DLAB,>4cm,0
nb7,DSTO,<4cm,4
nb7,DSTO,>4cm,1
nb7,EFAS,<4cm,0
nb7,EFAS,>4cm,0
nb7,MADR,<4cm,0
nb7,MADR,>4cm,0
nb7,MALI,<4cm,0
nb7,MALI,>4cm,0
nb7,MCAV,<4cm,9
nb7,MCAV,>4cm,1
nb7,MDEC,<4cm,0
nb7,MDEC,>4cm,0
nb7,MFER,<4cm,0
nb7,MFER,>4cm,0
nb7,MMEA,<4cm,0
nb7,MMEA,>4cm,0
nb7,OFRA,<4cm,0
nb7,OFRA,>4cm,0
nb7,OROB,<4cm,0
nb7,OROB,>4cm,0
nb7,PAST,<4cm,0
nb7,PAST,>4cm,0
nb7,PCLI,<4cm,0
nb7,PCLI,>4cm,0
nb7,PORI,<4cm,0
nb7,PORI,>4cm,0
nb7,PPOR,<4cm,2
nb7,PPOR,>4cm,6
nb7,PSTR,<4cm,0
nb7,PSTR,>4cm,0
nb7,SBOU,<4cm,2
nb7,SBOU,>4cm,0
nb7,SIDE,<4cm,0
nb7,SIDE,>4cm,0
nb7,SINT,<4cm,0
nb7,SINT,>4cm,2
nb7,SRAD,<4cm,0
nb7,SRAD,>4cm,0
nb7,SSID,<4cm,31
nb7,SSID,>4cm,3
nb8,AAGA,<4cm,0
nb8,AAGA,>4cm,0
nb8,AFRA,<4cm,0
nb8,AFRA,>4cm,0
nb8,AGAR,<4cm,0
nb8,AGAR,>4cm,0
nb8,ALAM,<4cm,0
nb8,ALAM,>4cm,0
nb8,CNAT,<4cm,0
nb8,CNAT,>4cm,0
nb8,DLAB,<4cm,0
nb8,DLAB,>4cm,0
nb8,DSTO,<4cm,0
nb8,DSTO,>4cm,0
nb8,EFAS,<4cm,0
nb8,EFAS,>4cm,0
nb8,MADR,<4cm,0
nb8,MADR,>4cm,0
nb8,MALI,<4cm,0
nb8,MALI,>4cm,0
nb8,MCAV,<4cm,0
nb8,MCAV,>4cm,0
nb8,MDEC,<4cm,0
nb8,MDEC,>4cm,0
nb8,MFER,<4cm,0
nb8,MFER,>4cm,0
nb8,MMEA,<4cm,0
nb8,MMEA,>4cm,0
nb8,OFRA,<4cm,0
nb8,OFRA,>4cm,0
nb8,OROB,<4cm,0
nb8,OROB,>4cm,0
nb8,PAST,<4cm,0
nb8,PAST,>4cm,0
nb8,PCLI,<4cm,0
nb8,PCLI,>4cm,0
nb8,PORI,<4cm,0
nb8,PORI,>4cm,0
nb8,PPOR,<4cm,0
nb8,PPOR,>4cm,0
nb8,PSTR,<4cm,0
nb8,PSTR,>4cm,0
nb8,SBOU,<4cm,0
nb8,SBOU,>4cm,0
nb8,SIDE,<4cm,0
nb8,SIDE,>4cm,0
nb8,SINT,<4cm,4
nb8,SINT,>4cm,7
nb8,SRAD,<4cm,0
nb8,SRAD,>4cm,0
nb8,SSID,<4cm,2
nb8,SSID,>4cm,0
nb9,AAGA,<4cm,0
nb9,AAGA,>4cm,0
nb9,AFRA,<4cm,0
nb9,AFRA,>4cm,0
nb9,AGAR,<4cm,0
nb9,AGAR,>4cm,0
nb9,ALAM,<4cm,0
nb9,ALAM,>4cm,0
nb9,CNAT,<4cm,0
nb9,CNAT,>4cm,0
nb9,DLAB,<4cm,0
nb9,DLAB,>4cm,0
nb9,DSTO,<4cm,0
nb9,DSTO,>4cm,2
nb9,EFAS,<4cm,0
nb9,EFAS,>4cm,0
nb9,MADR,<4cm,0
nb9,MADR,>4cm,0
nb9,MALI,<4cm,0
nb9,MALI,>4cm,0
nb9,MCAV,<4cm,3
nb9,MCAV,>4cm,4
nb9,MDEC,<4cm,0
nb9,MDEC,>4cm,0
nb9,MFER,<4cm,0
nb9,MFER,>4cm,0
nb9,MMEA,<4cm,0
nb9,MMEA,>4cm,1
nb9,OFRA,<4cm,0
nb9,OFRA,>4cm,0
nb9,OROB,<4cm,0
nb9,OROB,>4cm,0
nb9,PAST,<4cm,0
nb9,PAST,>4cm,0
nb9,PCLI,<4cm,0
nb9,PCLI,>4cm,0
nb9,PORI,<4cm,0
nb9,PORI,>4cm,0
nb9,PPOR,<4cm,0
nb9,PPOR,>4cm,0
nb9,PSTR,<4cm,0
nb9,PSTR,>4cm,0
nb9,SBOU,<4cm,0
nb9,SBOU,>4cm,0
nb9,SIDE,<4cm,0
nb9,SIDE,>4cm,0
nb9,SINT,<4cm,2
nb9,SINT,>4cm,4
nb9,SRAD,<4cm,6
nb9,SRAD,>4cm,0
nb9,SSID,<4cm,19
nb9,SSID,>4cm,2
nb10,AAGA,<4cm,0
nb10,AAGA,>4cm,0
nb10,AFRA,<4cm,0
nb10,AFRA,>4cm,0
nb10,AGAR,<4cm,0
nb10,AGAR,>4cm,0
nb10,ALAM,<4cm,0
nb10,ALAM,>4cm,0
nb10,CNAT,<4cm,0
nb10,CNAT,>4cm,0
nb10,DLAB,<4cm,0
nb10,DLAB,>4cm,0
nb10,DSTO,<4cm,0
nb10,DSTO,>4cm,1
nb10,EFAS,<4cm,0
nb10,EFAS,>4cm,0
nb10,MADR,<4cm,0
nb10,MADR,>4cm,0
nb10,MALI,<4cm,0
nb10,MALI,>4cm,0
nb10,MCAV,<4cm,0
nb10,MCAV,>4cm,0
nb10,MDEC,<4cm,0
nb10,MDEC,>4cm,0
nb10,MFER,<4cm,0
nb10,MFER,>4cm,0
nb10,MMEA,<4cm,0
nb10,MMEA,>4cm,0
nb10,OFRA,<4cm,0
nb10,OFRA,>4cm,0
nb10,OROB,<4cm,0
nb10,OROB,>4cm,0
nb10,PAST,<4cm,0
