site,taxon,class,n
1,AAGA,<4cm,0
1,AAGA,>4cm,0
1,ACER,<4cm,0
1,ACER,>4cm,0
1,AFRA,<4cm,0
1,AFRA,>4cm,0
1,ALAM,<4cm,0
1,ALAM,>4cm,0
1,CNAT,<4cm,0
1,CNAT,>4cm,0
1,DLAB,<4cm,0
1,DLAB,>4cm,0
1,DSTO,<4cm,0
1,DSTO,>4cm,0
1,EFAS,<4cm,0
1,EFAS,>4cm,0
1,FFRA,<4cm,0
1,FFRA,>4cm,0
1,MALI,<4cm,0
1,MALI,>4cm,0
1,MANG,<4cm,0
1,MANG,>4cm,0
1,MCAV,<4cm,0
1,MCAV,>4cm,6
1,MDEC,<4cm,0
1,MDEC,>4cm,0
1,MLAM,<4cm,1
1,MLAM,>4cm,0
1,MMEA,<4cm,0
1,MMEA,>4cm,0
1,MPHA,<4cm,0
1,MPHA,>4cm,0
1,OCUL,<4cm,0
1,OCUL,>4cm,0
1,OFAV,<4cm,0
1,OFAV,>4cm,0
1,OFRA,<4cm,0
1,OFRA,>4cm,0
1,PAME,<4cm,0
1,PAME,>4cm,0
1,PAST,<4cm,1
1,PAST,>4cm,2
1,PCLI,<4cm,0
1,PCLI,>4cm,0
1,PPOR,<4cm,0
1,PPOR,>4cm,1
1,PSTR,<4cm,1
1,PSTR,>4cm,0
1,SBOU,<4cm,0
1,SBOU,>4cm,0
1,SCUB,<4cm,0
1,SCUB,>4cm,0
1,SINT,<4cm,2
1,SINT,>4cm,6
1,SLAC,<4cm,0
1,SLAC,>4cm,0
1,SRAD,<4cm,5
1,SRAD,>4cm,0
1,SSID,<4cm,12
1,SSID,>4cm,4
2,AAGA,<4cm,0
2,AAGA,>4cm,0
2,ACER,<4cm,0
2,ACER,>4cm,0
2,AFRA,<4cm,0
2,AFRA,>4cm,0
2,ALAM,<4cm,0
2,ALAM,>4cm,0
2,CNAT,<4cm,0
2,CNAT,>4cm,0
2,DLAB,<4cm,0
2,DLAB,>4cm,0
2,DSTO,<4cm,0
2,DSTO,>4cm,0
2,EFAS,<4cm,0
2,EFAS,>4cm,0
2,FFRA,<4cm,0
2,FFRA,>4cm,0
2,MALI,<4cm,0
2,MALI,>4cm,0
2,MANG,<4cm,0
2,MANG,>4cm,0
2,MCAV,<4cm,0
2,MCAV,>4cm,3
2,MDEC,<4cm,0
2,MDEC,>4cm,1
2,MLAM,<4cm,0
2,MLAM,>4cm,0
2,MMEA,<4cm,0
2,MMEA,>4cm,0
2,MPHA,<4cm,0
2,MPHA,>4cm,0
2,OCUL,<4cm,0
2,OCUL,>4cm,0
2,OFAV,<4cm,0
2,OFAV,>4cm,0
2,OFRA,<4cm,0
2,OFRA,>4cm,0
2,PAME,<4cm,0
2,PAME,>4cm,0
2,PAST,<4cm,0
2,PAST,>4cm,3
2,PCLI,<4cm,0
2,PCLI,>4cm,0
2,PPOR,<4cm,0
2,PPOR,>4cm,0
2,PSTR,<4cm,0
2,PSTR,>4cm,0
2,SBOU,<4cm,0
2,SBOU,>4cm,0
2,SCUB,<4cm,0
2,SCUB,>4cm,0
2,SINT,<4cm,0
2,SINT,>4cm,3
2,SLAC,<4cm,0
2,SLAC,>4cm,0
2,SRAD,<4cm,0
2,SRAD,>4cm,0
2,SSID,<4cm,0
2,SSID,>4cm,0
3,AAGA,<4cm,0
3,AAGA,>4cm,2
3,ACER,<4cm,0
3,ACER,>4cm,0
3,AFRA,<4cm,0
3,AFRA,>4cm,0
3,ALAM,<4cm,0
3,ALAM,>4cm,0
3,CNAT,<4cm,0
3,CNAT,>4cm,0
3,DLAB,<4cm,0
3,DLAB,>4cm,1
3,DSTO,<4cm,0
3,DSTO,>4cm,0
3,EFAS,<4cm,0
3,EFAS,>4cm,1
3,FFRA,<4cm,0
3,FFRA,>4cm,0
3,MALI,<4cm,0
3,MALI,>4cm,0
3,MANG,<4cm,0
3,MANG,>4cm,0
3,MCAV,<4cm,6
3,MCAV,>4cm,8
3,MDEC,<4cm,0
3,MDEC,>4cm,4
3,MLAM,<4cm,0
3,MLAM,>4cm,0
3,MMEA,<4cm,0
3,MMEA,>4cm,1
3,MPHA,<4cm,0
3,MPHA,>4cm,0
3,OCUL,<4cm,0
3,OCUL,>4cm,0
3,OFAV,<4cm,0
3,OFAV,>4cm,0
3,OFRA,<4cm,0
3,OFRA,>4cm,0
3,PAME,<4cm,0
3,PAME,>4cm,0
3,PAST,<4cm,3
3,PAST,>4cm,21
3,PCLI,<4cm,0
3,PCLI,>4cm,0
3,PPOR,<4cm,0
3,PPOR,>4cm,2
3,PSTR,<4cm,0
3,PSTR,>4cm,0
3,SBOU,<4cm,0
3,SBOU,>4cm,0
