site,taxon,class,n
IN-1-AR,ACER,<4cm,0
IN-1-AR,ACER,>4cm,0
IN-1-AR,AGAR,<4cm,0
IN-1-AR,AGAR,>4cm,0
IN-1-AR,DSTO,>4cm,0
IN-1-AR,EFAS,>4cm,0
IN-1-AR,FAVI,<4cm,0
IN-1-AR,FAVI,>4cm,0
IN-1-AR,HCUC,<4cm,0
IN-1-AR,HCUC,>4cm,0
IN-1-AR,MADR,<4cm,0
IN-1-AR,MADR,>4cm,0
IN-1-AR,MCAV,<4cm,0
IN-1-AR,MCAV,>4cm,0
IN-1-AR,MEAN,<4cm,0
IN-1-AR,MMEA,>4cm,0
IN-1-AR,MUSS,<4cm,0
IN-1-AR,MYCE,>4cm,0
IN-1-AR,OCUL,<4cm,0
IN-1-AR,OCUL,>4cm,0
IN-1-AR,ORBI,<4cm,0
IN-1-AR,ORBI,>4cm,0
IN-1-AR,PORI,<4cm,0
IN-1-AR,PORI,>4cm,0
IN-1-AR,SCOL,>4cm,0
IN-1-AR,SIDE,<4cm,13
IN-1-AR,SIDE,>4cm,1
IN-1-AR,SINT,<4cm,0
IN-1-AR,SINT,>4cm,0
IN-1-AR,SOLE,<4cm,0
IN-1-AR,SOLE,>4cm,3
IN-10-AR,ACER,<4cm,0
IN-10-AR,ACER,>4cm,0
IN-10-AR,AGAR,<4cm,0
IN-10-AR,AGAR,>4cm,0
IN-10-AR,DSTO,>4cm,0
IN-10-AR,EFAS,>4cm,0
IN-10-AR,FAVI,<4cm,0
IN-10-AR,FAVI,>4cm,1
IN-10-AR,HCUC,<4cm,0
IN-10-AR,HCUC,>4cm,0
IN-10-AR,MADR,<4cm,0
IN-10-AR,MADR,>4cm,0
IN-10-AR,MCAV,<4cm,0
IN-10-AR,MCAV,>4cm,0
IN-10-AR,MEAN,<4cm,0
IN-10-AR,MMEA,>4cm,0
IN-10-AR,MUSS,<4cm,0
IN-10-AR,MYCE,>4cm,0
IN-10-AR,OCUL,<4cm,0
IN-10-AR,OCUL,>4cm,0
IN-10-AR,ORBI,<4cm,0
IN-10-AR,ORBI,>4cm,0
IN-10-AR,PORI,<4cm,0
IN-10-AR,PORI,>4cm,0
IN-10-AR,SCOL,>4cm,0
IN-10-AR,SIDE,<4cm,12
IN-10-AR,SIDE,>4cm,3
IN-10-AR,SINT,<4cm,0
IN-10-AR,SINT,>4cm,0
IN-10-AR,SOLE,<4cm,0
IN-10-AR,SOLE,>4cm,1
IN-100-CP,ACER,<4cm,0
IN-100-CP,ACER,>4cm,0
IN-100-CP,AGAR,<4cm,0
IN-100-CP,AGAR,>4cm,0
IN-100-CP,DSTO,>4cm,1
IN-100-CP,EFAS,>4cm,0
IN-100-CP,FAVI,<4cm,1
IN-100-CP,FAVI,>4cm,0
IN-100-CP,HCUC,<4cm,0
IN-100-CP,HCUC,>4cm,0
IN-100-CP,MADR,<4cm,0
IN-100-CP,MADR,>4cm,0
IN-100-CP,MCAV,<4cm,2
IN-100-CP,MCAV,>4cm,2
IN-100-CP,MEAN,<4cm,3
IN-100-CP,MMEA,>4cm,0
IN-100-CP,MUSS,<4cm,0
IN-100-CP,MYCE,>4cm,0
IN-100-CP,OCUL,<4cm,0
IN-100-CP,OCUL,>4cm,0
IN-100-CP,ORBI,<4cm,0
IN-100-CP,ORBI,>4cm,0
IN-100-CP,PORI,<4cm,1
IN-100-CP,PORI,>4cm,0
IN-100-CP,SCOL,>4cm,0
IN-100-CP,SIDE,<4cm,112
IN-100-CP,SIDE,>4cm,4
IN-100-CP,SINT,<4cm,3
IN-100-CP,SINT,>4cm,2
IN-100-CP,SOLE,<4cm,0
IN-100-CP,SOLE,>4cm,1
IN-101-CP,ACER,<4cm,0
IN-101-CP,ACER,>4cm,0
IN-101-CP,AGAR,<4cm,0
IN-101-CP,AGAR,>4cm,0
IN-101-CP,DSTO,>4cm,1
IN-101-CP,EFAS,>4cm,0
IN-101-CP,FAVI,<4cm,0
IN-101-CP,FAVI,>4cm,0
IN-101-CP,HCUC,<4cm,0
IN-101-CP,HCUC,>4cm,0
IN-101-CP,MADR,<4cm,0
IN-101-CP,MADR,>4cm,0
IN-101-CP,MCAV,<4cm,4
IN-101-CP,MCAV,>4cm,1
IN-101-CP,MEAN,<4cm,1
IN-101-CP,MMEA,>4cm,0
IN-101-CP,MUSS,<4cm,0
IN-101-CP,MYCE,>4cm,0
IN-101-CP,OCUL,<4cm,0
IN-101-CP,OCUL,>4cm,0
IN-101-CP,ORBI,<4cm,0
IN-101-CP,ORBI,>4cm,0
IN-101-CP,PORI,<4cm,0
IN-101-CP,PORI,>4cm,0
IN-101-CP,SCOL,>4cm,0
IN-101-CP,SIDE,<4cm,47
IN-101-CP,SIDE,>4cm,0
IN-101-CP,SINT,<4cm,1
IN-101-CP,SINT,>4cm,5
IN-101-CP,SOLE,<4cm,0
IN-101-CP,SOLE,>4cm,0
IN-102-CP,ACER,<4cm,0
IN-102-CP,ACER,>4cm,0
IN-102-CP,AGAR,<4cm,0
