site,transect_num,taxon,max_width_cm,team
1124,1,SSID,5,Shedd Aquarium
1124,1,MDEC,5,Shedd Aquarium
1124,2,SINT,15,Shedd Aquarium
1124,2,MCAV,6,Shedd Aquarium
1124,2,SBOU,6,Shedd Aquarium
1124,2,SSID,6,Shedd Aquarium
1124,2,SSID,4,Shedd Aquarium
1124,2,MCAV,6,Shedd Aquarium
1124,2,MCAV,8,Shedd Aquarium
1124,2,SRAD,11,Shedd Aquarium
1124,2,EFAS,18,Shedd Aquarium
1124,2,MCAV,11,Shedd Aquarium
1124,2,MCAV,4,Shedd Aquarium
1124,2,MMEA,11,Shedd Aquarium
1124,2,PPOR,5,Shedd Aquarium
1124,2,SSID,8,Shedd Aquarium
1124,2,SRAD,7,Shedd Aquarium
1124,2,SINT,6,Shedd Aquarium
1124,2,MCAV,11,Shedd Aquarium
1124,2,SSID,12,Shedd Aquarium
1124,2,SSID,6,Shedd Aquarium
1124,2,PSTR,13,Shedd Aquarium
1124,2,SSID,6,Shedd Aquarium
1124,2,MCAV,6,Shedd Aquarium
1127,1,SSID,5,Shedd Aquarium
1127,1,SINT,7,Shedd Aquarium
1127,1,PAST,6,Shedd Aquarium
1127,1,PAST,5,Shedd Aquarium
1127,1,PAST,7,Shedd Aquarium
1127,1,PAST,14,Shedd Aquarium
1127,2,SBOU,23,Shedd Aquarium
1127,2,DSTO,6,Shedd Aquarium
1127,2,PAST,11,Shedd Aquarium
1127,2,SSID,14,Shedd Aquarium
1128,1,PSTR,6,Shedd Aquarium
1128,1,DSTO,8,Shedd Aquarium
1128,1,AAGA,25,Shedd Aquarium
1128,1,SINT,10,Shedd Aquarium
1128,1,SSID,30,Shedd Aquarium
1128,1,SINT,18,Shedd Aquarium
1128,1,SSID,6,Shedd Aquarium
1128,1,SINT,15,Shedd Aquarium
1128,2,DSTO,12,Shedd Aquarium
1128,2,SINT,8,Shedd Aquarium
1128,2,SBOU,25,Shedd Aquarium
1128,2,PPOR,10,Shedd Aquarium
1128,2,PAST,10,Shedd Aquarium
1128,2,PAST,8,Shedd Aquarium
1128,2,SINT,20,Shedd Aquarium
1128,2,SSID,35,Shedd Aquarium
1128,2,SSID,6,Shedd Aquarium
1128,2,SSID,5,Shedd Aquarium
1128,2,SINT,15,Shedd Aquarium
1130,1,PCLI,72,Shedd Aquarium
1130,1,PPOR,6,Shedd Aquarium
