site,taxon,class,n
IN-1-AR,AAGA,<4cm,0
IN-1-AR,AAGA,>4cm,0
IN-1-AR,ACER,<4cm,0
IN-1-AR,ACER,>4cm,0
IN-1-AR,AFRA,<4cm,0
IN-1-AR,AFRA,>4cm,0
IN-1-AR,AGAR,<4cm,0
IN-1-AR,AGAR,>4cm,0
IN-1-AR,AHUM,<4cm,0
IN-1-AR,AHUM,>4cm,0
IN-1-AR,ALAM,<4cm,0
IN-1-AR,ALAM,>4cm,0
IN-1-AR,CNAT,<4cm,0
IN-1-AR,CNAT,>4cm,0
IN-1-AR,DLAB,<4cm,0
IN-1-AR,DLAB,>4cm,0
IN-1-AR,DSTO,<4cm,0
IN-1-AR,DSTO,>4cm,0
IN-1-AR,EFAS,<4cm,0
IN-1-AR,EFAS,>4cm,0
IN-1-AR,HCUC,<4cm,0
IN-1-AR,HCUC,>4cm,0
IN-1-AR,MADR,<4cm,0
IN-1-AR,MADR,>4cm,0
IN-1-AR,MALI,<4cm,0
IN-1-AR,MALI,>4cm,0
IN-1-AR,MARE,<4cm,0
IN-1-AR,MARE,>4cm,0
IN-1-AR,MCAV,<4cm,0
IN-1-AR,MCAV,>4cm,0
IN-1-AR,MDEC,<4cm,0
IN-1-AR,MDEC,>4cm,0
IN-1-AR,MLAM,<4cm,0
IN-1-AR,MLAM,>4cm,0
IN-1-AR,MMEA,<4cm,0
IN-1-AR,MMEA,>4cm,0
IN-1-AR,MPHA,<4cm,0
IN-1-AR,MPHA,>4cm,0
IN-1-AR,MYCE,<4cm,0
IN-1-AR,MYCE,>4cm,0
IN-1-AR,OANN,<4cm,0
IN-1-AR,OANN,>4cm,0
IN-1-AR,ODIF,<4cm,0
IN-1-AR,ODIF,>4cm,0
IN-1-AR,OFAV,<4cm,0
IN-1-AR,OFAV,>4cm,0
IN-1-AR,PAST,<4cm,0
IN-1-AR,PAST,>4cm,0
IN-1-AR,PCLI,<4cm,0
IN-1-AR,PCLI,>4cm,0
IN-1-AR,PFUR,<4cm,0
IN-1-AR,PFUR,>4cm,0
IN-1-AR,PPOR,<4cm,0
IN-1-AR,PPOR,>4cm,0
IN-1-AR,PSTR,<4cm,0
IN-1-AR,PSTR,>4cm,0
IN-1-AR,SBOU,<4cm,0
IN-1-AR,SBOU,>4cm,3
IN-1-AR,SCOL,<4cm,0
IN-1-AR,SCOL,>4cm,0
IN-1-AR,SCUB,<4cm,0
IN-1-AR,SCUB,>4cm,0
IN-1-AR,SIDE,<4cm,13
IN-1-AR,SIDE,>4cm,0
IN-1-AR,SINT,<4cm,0
IN-1-AR,SINT,>4cm,0
IN-1-AR,SRAD,<4cm,0
IN-1-AR,SRAD,>4cm,0
IN-1-AR,SSID,<4cm,0
IN-1-AR,SSID,>4cm,1
IN-10-AR,AAGA,<4cm,0
IN-10-AR,AAGA,>4cm,0
IN-10-AR,ACER,<4cm,0
IN-10-AR,ACER,>4cm,0
IN-10-AR,AFRA,<4cm,0
IN-10-AR,AFRA,>4cm,0
IN-10-AR,AGAR,<4cm,0
IN-10-AR,AGAR,>4cm,0
IN-10-AR,AHUM,<4cm,0
IN-10-AR,AHUM,>4cm,0
IN-10-AR,ALAM,<4cm,0
IN-10-AR,ALAM,>4cm,0
IN-10-AR,CNAT,<4cm,0
IN-10-AR,CNAT,>4cm,0
IN-10-AR,DLAB,<4cm,0
IN-10-AR,DLAB,>4cm,0
IN-10-AR,DSTO,<4cm,0
IN-10-AR,DSTO,>4cm,0
IN-10-AR,EFAS,<4cm,0
IN-10-AR,EFAS,>4cm,0
IN-10-AR,HCUC,<4cm,0
IN-10-AR,HCUC,>4cm,0
IN-10-AR,MADR,<4cm,0
IN-10-AR,MADR,>4cm,0
IN-10-AR,MALI,<4cm,0
IN-10-AR,MALI,>4cm,0
IN-10-AR,MARE,<4cm,0
IN-10-AR,MARE,>4cm,0
IN-10-AR,MCAV,<4cm,0
IN-10-AR,MCAV,>4cm,0
IN-10-AR,MDEC,<4cm,0
IN-10-AR,MDEC,>4cm,0
IN-10-AR,MLAM,<4cm,0
IN-10-AR,MLAM,>4cm,0
IN-10-AR,MMEA,<4cm,0
IN-10-AR,MMEA,>4cm,0
IN-10-AR,MPHA,<4cm,0
IN-10-AR,MPHA,>4cm,0
IN-10-AR,MYCE,<4cm,0
IN-10-AR,MYCE,>4cm,0
IN-10-AR,OANN,<4cm,0
IN-10-AR,OANN,>4cm,0
IN-10-AR,ODIF,<4cm,0
IN-10-AR,ODIF,>4cm,0
IN-10-AR,OFAV,<4cm,0
IN-10-AR,OFAV,>4cm,0
IN-10-AR,PAST,<4cm,0
IN-10-AR,PAST,>4cm,0
IN-10-AR,PCLI,<4cm,0
IN-10-AR,PCLI,>4cm,1
IN-10-AR,PFUR,<4cm,0
IN-10-AR,PFUR,>4cm,0
IN-10-AR,PPOR,<4cm,0
IN-10-AR,PPOR,>4cm,0
IN-10-AR,PSTR,<4cm,0
IN-10-AR,PSTR,>4cm,0
IN-10-AR,SBOU,<4cm,0
IN-10-AR,SBOU,>4cm,1
IN-10-AR,SCOL,<4cm,0
IN-10-AR,SCOL,>4cm,0
IN-10-AR,SCUB,<4cm,0
IN-10-AR,SCUB,>4cm,0
IN-10-AR,SIDE,<4cm,12
IN-10-AR,SIDE,>4cm,0
IN-10-AR,SINT,<4cm,0
IN-10-AR,SINT,>4cm,0
IN-10-AR,SRAD,<4cm,0
IN-10-AR,SRAD,>4cm,3
IN-10-AR,SSID,<4cm,0
IN-10-AR,SSID,>4cm,0
