site,taxon,class,n
7,FAVI,<4cm,0
7,FAVI,>4cm,0
7,FFRA,>4cm,0
7,MADR,<4cm,1
7,MADR,>4cm,4
7,MANG,>4cm,0
7,MCAV,<4cm,13
7,MCAV,>4cm,10
7,MEAN,<4cm,0
7,MMEA,>4cm,1
7,MUSS,<4cm,2
7,MYCE,>4cm,1
7,OCUL,<4cm,0
7,OCUL,>4cm,0
7,ORBI,<4cm,0
7,ORBI,>4cm,0
7,PAME,<4cm,0
7,PAME,>4cm,0
7,PORI,<4cm,6
7,PORI,>4cm,19
7,SCOL,>4cm,0
7,SIDE,<4cm,77
7,SIDE,>4cm,6
7,SINT,<4cm,11
7,SINT,>4cm,14
7,SOLE,<4cm,0
7,SOLE,>4cm,0
8,ACER,<4cm,0
8,ACER,>4cm,0
8,AGAR,<4cm,0
8,AGAR,>4cm,0
8,DSTO,>4cm,0
8,EFAS,>4cm,0
8,FAVI,<4cm,0
8,FAVI,>4cm,0
8,FFRA,>4cm,0
8,MADR,<4cm,0
8,MADR,>4cm,5
8,MANG,>4cm,0
8,MCAV,<4cm,1
8,MCAV,>4cm,5
8,MEAN,<4cm,0
8,MMEA,>4cm,1
8,MUSS,<4cm,0
8,MYCE,>4cm,0
8,OCUL,<4cm,0
8,OCUL,>4cm,0
8,ORBI,<4cm,0
8,ORBI,>4cm,0
8,PAME,<4cm,0
8,PAME,>4cm,0
8,PORI,<4cm,0
8,PORI,>4cm,3
8,SCOL,>4cm,0
8,SIDE,<4cm,11
8,SIDE,>4cm,4
8,SINT,<4cm,6
8,SINT,>4cm,6
8,SOLE,<4cm,0
8,SOLE,>4cm,0
9,ACER,<4cm,0
9,ACER,>4cm,0
9,AGAR,<4cm,0
9,AGAR,>4cm,2
9,DSTO,>4cm,0
9,EFAS,>4cm,0
9,FAVI,<4cm,0
9,FAVI,>4cm,0
9,FFRA,>4cm,0
9,MADR,<4cm,0
9,MADR,>4cm,4
9,MANG,>4cm,0
9,MCAV,<4cm,2
9,MCAV,>4cm,2
9,MEAN,<4cm,0
9,MMEA,>4cm,4
9,MUSS,<4cm,0
9,MYCE,>4cm,0
9,OCUL,<4cm,0
9,OCUL,>4cm,0
9,ORBI,<4cm,0
9,ORBI,>4cm,0
9,PAME,<4cm,0
9,PAME,>4cm,0
9,PORI,<4cm,0
9,PORI,>4cm,0
9,SCOL,>4cm,0
9,SIDE,<4cm,2
9,SIDE,>4cm,4
9,SINT,<4cm,0
9,SINT,>4cm,6
9,SOLE,<4cm,0
9,SOLE,>4cm,0
10,ACER,<4cm,0
10,ACER,>4cm,0
10,AGAR,<4cm,0
10,AGAR,>4cm,0
10,DSTO,>4cm,0
10,EFAS,>4cm,0
10,FAVI,<4cm,0
10,FAVI,>4cm,0
10,FFRA,>4cm,0
10,MADR,<4cm,0
10,MADR,>4cm,0
10,MANG,>4cm,0
10,MCAV,<4cm,0
10,MCAV,>4cm,0
10,MEAN,<4cm,0
10,MMEA,>4cm,0
10,MUSS,<4cm,0
10,MYCE,>4cm,0
10,OCUL,<4cm,0
10,OCUL,>4cm,0
10,ORBI,<4cm,0
