batch,site,latitude,longitude,subregion,zone,f_habitat,habitat,site_comments,team,transect_num,date,end_depth,surveyor,shared,buddy,transect_comments,no_corals_4cm,species,width,height,bleaching,old_mortality,recent_mortality,other_recent_mortality,disease_recent_moratlity,tl_rate,d_condition,o_condition,field_habitat
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,18,ANDE,0,Mark Hartman,NA,FALSE,MCAV,6,3,Not Bleached,1,0,0,0,NA,NA,OGI,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,18,ANDE,0,Mark Hartman,NA,FALSE,SRAD,6,1,Partly Bleached,2,0,0,0,NA,NA,"OGI, SC",NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,18,ANDE,0,Mark Hartman,NA,FALSE,PAST,17,6,Not Bleached,2,0,0,0,NA,NA,OGI,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,MAHA,0,ANDE,NA,FALSE,SRAD,5,3,Pale,0,0,0,0,NA,NA,NA,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,MAHA,0,ANDE,NA,FALSE,SRAD,4,2,Pale,0,0,0,0,NA,NA,NA,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,MAHA,0,ANDE,NA,FALSE,SRAD,4,3,Not Bleached,0,100,100,0,NA,NA,OUK,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,MAHA,0,ANDE,NA,FALSE,SINT,5,4,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,MAHA,0,ANDE,NA,FALSE,SRAD,4,3,Pale,0,0,0,0,NA,NA,NA,NA
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,MAHA,0,ANDE,NA,FALSE,SRAD,4,2,Pale,0,0,0,0,NA,NA,NA,NA
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Mark Hartman,NA,FALSE,SRAD,6,1,Not Bleached,4,0,0,0,NA,NA,OGI,NA
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Mark Hartman,NA,FALSE,SBOU,22,10,Not Bleached,5,0,0,0,NA,NA,"OGI, SC",NA
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Mark Hartman,NA,FALSE,SRAD,6,2,Partly Bleached,8,0,0,0,NA,NA,"OGI, SC",NA
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Mark Hartman,NA,FALSE,SRAD,5,1,Partly Bleached,40,0,0,0,NA,NA,OGI,NA
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Mark Hartman,NA,FALSE,SSID,8,1,Partly Bleached,4,0,0,0,NA,NA,OGI,NA
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,CPSH,NA,Broward County,2,2024-08-14T00:00:00Z,13,MAHA,0,ANDE,NA,FALSE,SSID,7,3,Not Bleached,0,5,5,0,NA,NA,ABR,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Kirk Kilfoyle,NA,FALSE,DSTO,11,4,Not Bleached,1,0,0,0,NA,NA,OGI,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Kirk Kilfoyle,NA,FALSE,SSID,6,3,Pale,3,0,0,0,NA,NA,OGI,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Kirk Kilfoyle,NA,FALSE,SBOU,16,5,Not Bleached,5,0,0,0,NA,NA,OGI,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,1,2024-08-14T00:00:00Z,12,ANDE,0,Kirk Kilfoyle,NA,FALSE,SRAD,5,1,Not Bleached,2,0,0,0,NA,NA,OGI,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SSID,5,1,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SSID,6,1,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SSID,5,3,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SSID,4,1,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SSID,5,2,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SRAD,8,2,Not Bleached,0,0,0,0,NA,NA,NA,NA
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,RGSH,NA,Broward County,2,2024-08-14T00:00:00Z,16,KIKI,0,Angela Delaney,NA,FALSE,SSID,6,1,Not Bleached,0,0,0,0,NA,NA,NA,NA
