site,date,latitude,longitude,zone,f_habitat,habitat,team,depth,penip_site,reef,direction,distance_m,dist_from_channel,dir,set
1083,2024-08-14T00:00:00Z,26.241249,-80.083107,Forereef,Contiguous Reef Other,CPSH,Broward County,16.666666666666668,NA,NA,NA,NA,16.36609279,N,Nref
1084,2024-08-14T00:00:00Z,26.237202,-80.08564,Forereef,Contiguous Reef Other,CPSH,Broward County,12.166666666666666,NA,NA,NA,NA,15.917718904360498,N,Nref
1086,2024-08-14T00:00:00Z,26.23089,-80.087189,Forereef,Contiguous Reef Other,RGSH,Broward County,15.272727272727273,NA,NA,NA,NA,15.218402390390686,N,Nref
1087,2024-10-01T00:00:00Z,26.228138,-80.0802,Forereef,Contiguous Reef Other,LIRI,Broward County,28.852941176470587,NA,NA,NA,NA,14.91350413,N,Nref
1089,2024-08-14T00:00:00Z,26.226822,-80.08622,Forereef,Reef Rubble,RGSH,Broward County,16.5,NA,NA,NA,NA,14.767702529134068,N,Nref
1090,2024-08-14T00:00:00Z,26.22366,-80.085747,Forereef,Reef Rubble,CPSH,Broward County,15.4,NA,NA,NA,NA,14.417379951828318,N,Nref
1091,2024-10-16T00:00:00Z,26.223221,-80.087753,Forereef,Contiguous Reef Other,RGSH,Broward County,17.714285714285715,NA,NA,NA,NA,14.368742515739529,N,Nref
1092,2024-08-14T00:00:00Z,26.217794,-80.088824,Forereef,Contiguous Reef Other,RGSH,Broward County,12,NA,NA,NA,NA,13.767477691250495,N,Nref
1094,2024-09-09T00:00:00Z,26.202915,-80.089409,Forereef,Contiguous Reef Other,RGSH,Broward County,17.23076923076923,NA,NA,NA,NA,12.119015061850643,N,Nref
1095,2024-10-16T00:00:00Z,26.202894,-80.085907,Forereef,Contiguous Reef Other,RGSH,Broward County,13.8,NA,NA,NA,NA,12.116688448546586,N,Nref
1096,2024-10-16T00:00:00Z,26.191198,-80.092506,Forereef,Contiguous Reef Other,RGSH,Broward County,11.4,NA,NA,NA,NA,10.82087668473723,N,Nref
1097,2024-08-14T00:00:00Z,26.188919,-80.08902,Forereef,Contiguous Reef Other,RGSH,Broward County,17.6,NA,NA,NA,NA,10.568384196612579,N,Nref
1098,2024-10-01T00:00:00Z,26.18891,-80.087517,Forereef,Contiguous Reef Other,RGSH,Broward County,15.807692307692308,NA,NA,NA,NA,10.567387078564535,N,Nref
1099,2024-10-16T00:00:00Z,26.186207,-80.088539,Forereef,Contiguous Reef Other,RGSH,Broward County,11,NA,NA,NA,NA,10.267919347872416,N,Nref
1102,2024-10-01T00:00:00Z,26.175322,-80.08062,Forereef,Contiguous Reef Other,LIRM,Broward County,58.81818181818182,NA,NA,NA,NA,9.061961830010068,N,Nref
1104,2024-08-13T00:00:00Z,26.170824,-80.08266,Forereef,Contiguous Reef Other,LIRM,NOVA Southeastern Univ.,41,NA,NA,NA,NA,8.563625484763012,N,Nref
1108,2024-10-01T00:00:00Z,26.162291,-80.090225,Forereef,Contiguous Reef Other,RGSH,NOVA Southeastern Univ.,10,NA,NA,NA,NA,7.618249721084066,N,Nref
1109,2024-08-13T00:00:00Z,26.160942,-80.09124,Forereef,Reef Rubble,CPSH,NOVA Southeastern Univ.,17.4,NA,NA,NA,NA,7.468793371625846,N,Nref
