name,ACER,ORBI,non-ESA,Total,cum_ACER,cum_ORBI,cum_non_ESA,cum_Total
Channel,    29,  194,"  169,207","  338,860",    29,  194,"  169,207","   338,860"
Side Slopes,   339,   23,"   50,497","  101,718",   368,  217,"  219,704","   440,578"
Depth_10cm,   801,   86,"  155,306","  312,386"," 1,169",  303,"  375,010","   752,964"
Depth_5cm,   820,   85,"  155,519","  312,848"," 1,989",  388,"  530,529"," 1,065,812"
Depth_1cm," 3,971",  374,"  718,453","1,445,595"," 5,960",  762,"1,248,982"," 2,511,407"
Depth_0_5cm," 2,707",  245,"  478,308","  962,520"," 8,667","1,007","1,727,290"," 3,473,927"
Depth_0_1cm," 6,948",  626,"1,253,869","2,522,886","15,615","1,633","2,981,159"," 5,996,813"
Nearshore," 1,123",   29,"  131,675","  265,655","16,738","1,662","3,112,834"," 6,262,468"
North,    11,  135,"  130,003","  260,297","16,749","1,797","3,242,837"," 6,522,765"
East,     7,   84,"   81,017","  162,216","16,756","1,881","3,323,854"," 6,684,981"
South,     5,   60,"   57,615","  115,360","16,761","1,941","3,381,469"," 6,800,341"
Rest of Monitoring Area,"22,418","2,813","4,760,961","9,572,384","39,179","4,754","8,142,430","16,372,725"
