name,ACER,ACER_lower_95,ACER_upper_95,ORBI,ORBI_lower_95,ORBI_upper_95,non-ESA,non-ESA_lower_95,non-ESA_upper_95,Total,Total_lower_95,Total_upper_95
Channel,28.88011853244836,9.365917588086251,90.23062088929473,194.1135898167142,129.80037306307088,280.5376202673505,169207.40916690667,150977.54668606166,190586.2045898384,169430.40287525582,151183.50571827,190810.49399511088
Side Slopes,339.4881879808308,179.45476879860152,605.4674298924351,22.83691381148282,14.769737586324348,34.946460160519145,50497.011842133375,40686.28549775042,62752.99760355321,50859.33694392569,41032.435402036645,63176.76629062734
Depth_10cm,800.8999655161699,425.28564720086365,1428.649935338362,86.48606711641023,60.89372165445148,121.8041120146606,155305.7900560262,131751.57018371095,185172.00693745934,156193.17608865877,132692.83784459232,186209.26328813698
Depth_5cm,820.1483109659549,435.38489353835536,1462.6573128863158,84.77387474217686,59.87245153085997,119.05915920187138,155518.67318067866,131539.51436278384,186230.5233349025,156423.59536638678,132472.44100374682,187162.75736823605
Depth_1cm,3970.7301662748728,2108.6909058039637,7085.978800327149,373.7454891274158,262.47256448929505,527.3745618373688,718452.9435764885,603265.5938159727,866514.7902940168,722797.4192318908,608048.4999917963,871770.254048477
Depth_0_5cm,2707.2807381813955,1437.4685946181392,4831.423755434245,244.56190296600914,171.9667062573709,345.45391453752455,478308.3176508064,400286.9727591675,578904.9039509131,481260.16029195377,403226.41100927925,581904.1486488689
Depth_0_1cm,6947.942370079876,3691.07800799498,12380.85450009627,626.345117068262,438.53136729879304,890.4577797872776,1253868.7362291564,1051252.8908825638,1513900.5083068525,1261443.0237163045,1058833.6714113622,1522140.5378827003
Nearshore,1123.4870823622553,592.8094763293112,1996.5620059604714,29.31589827966858,15.728831817538282,52.1540419050135,131675.2808658866,99722.08832785336,172806.01347098255,132828.08384652852,100809.30399733121,173970.35661997297
North,10.578746595125397,1.9002602243073816,36.86693905240714,134.92694528216728,83.39642232538212,207.69641630077106,130002.80243917511,112383.19294171491,151132.17304341064,130148.3081310524,112518.35410115457,151286.13382411472
East,6.592651234047517,1.184237924610479,22.975394017983422,84.08617073128765,51.97246399794883,129.43594242662678,81017.45591724367,70036.95465914643,94185.23245258941,81108.134739209,70121.18679161719,94281.18046701403
South,4.688356339465434,0.8421694374805009,16.33892501997208,59.79778356443902,36.96015797165498,92.0482215252864,57615.47055535214,49806.69972002582,66979.719687374,57679.95669525604,49866.601304113334,67047.95300743252
Rest of Monitoring Area,22417.81235613338,11905.276679929915,39939.22568542726,2812.6736846715935,2002.4588799912838,3913.8288586489234,4760961.313275282,4086785.2559824064,5607645.091110953,4786191.799316087,4112359.768604519,5632148.737529124
Total,39178.52905019582,20808.554131864945,69848.6391781356,4753.663437177627,3396.769812169887,6618.531046471303,8142431.204755136,6975664.0383882085,9615929.1045242,8186363.39724251,7019660.511406848,9659369.147638092
