taxon,class,Channel,Side Slopes,Depth_10cm,Depth_5cm,Depth_1cm,Depth_0_5cm,Depth_0_1cm,Nearshore,North,East,South,Rest of Monitoring Area,Total
ACER,<4cm,5 (0-27),5 (1-16),12 (2-42),12 (2-42),59 (9-201),40 (6-136),104 (16-352),14 (2-48),2 (0-12),1 (0-8),1 (0-5),"356 (55-1,210)","613 (96-2,078)"
ACER,>4cm,26 (4-91),293 (85-769),"691 (201-1,810)","708 (206-1,855)","3,426 (998-8,989)","2,336 (680-6,127)","5,993 (1,746-15,733)","969 (282-2,550)",8 (1-34),5 (0-21),4 (0-15),"19,341 (5,637-50,601)","33,798 (9,843-88,474)"
AGAR,<4cm,"517 (118-1,455)",62 (15-170),261 (74-667),260 (74-667),"1,152 (323-2,950)","755 (211-1,945)","2,020 (562-5,144)",126 (22-408),"466 (94-1,386)",290 (58-864),206 (42-614),"8,722 (2,488-22,295)","14,838 (4,227-37,717)"
AGAR,>4cm,"1,967 (703-4,326)",228 (93-463),"878 (371-1,753)","876 (369-1,747)","3,866 (1,630-7,740)","2,553 (1,076-5,120)","6,537 (2,781-12,991)",412 (147-900),"1,636 (526-3,798)","1,020 (328-2,367)","725 (233-1,683)","29,043 (12,112-58,303)","49,741 (20,692-100,029)"
CNAT,>4cm,86 (12-304),8 (1-28),39 (7-112),39 (7-114),171 (32-496),113 (21-328),301 (54-868),19 (1-70),86 (10-310),53 (6-193),38 (5-137),"1,333 (256-3,898)","2,286 (434-6,720)"
DLAB,>4cm,157 (39-421),34 (9-83),105 (32-244),102 (31-239),"466 (140-1,090)",308 (91-723),"788 (236-1,855)",61 (13-166),81 (15-249),50 (9-155),36 (6-110),"3,186 (971-7,441)","5,374 (1,627-12,574)"
DSTO,>4cm,369 (189-676),366 (206-598),"1,081 (642-1,714)","1,077 (638-1,714)","5,091 (3,004-8,110)","3,373 (1,979-5,399)","9,231 (5,472-14,699)","1,078 (582-1,819)",229 (97-497),143 (61-310),102 (43-220),"32,006 (19,158-50,482)","54,145 (32,294-85,670)"
EFAS,>4cm,"520 (176-1,152)",72 (27-153),316 (126-626),301 (119-595),"1,335 (531-2,646)","845 (334-1,692)","2,393 (952-4,782)",59 (12-161),280 (71-727),174 (44-453),124 (31-322),"10,181 (4,034-20,196)","16,600 (6,582-32,883)"
FAVI,<4cm,340 (132-711),135 (60-258),389 (178-722),385 (175-714),"1,794 (816-3,346)","1,190 (540-2,227)","3,116 (1,417-5,795)",323 (129-651),146 (44-358),91 (27-223),65 (19-159),"11,522 (5,280-21,247)","19,496 (8,928-36,035)"
MADR,<4cm,"637 (148-1,810)",51 (12-145),229 (61-608),234 (62-622),"1,014 (270-2,699)","676 (180-1,803)","1,706 (458-4,554)",111 (21-347),"638 (144-1,832)","398 (90-1,142)",283 (64-812),"8,027 (2,111-21,283)","14,005 (3,686-37,192)"
MADR,>4cm,"3,902 (1,197-9,530)","636 (188-1,641)","2,013 (632-4,968)","2,028 (634-5,012)","9,137 (2,831-22,775)","6,130 (1,891-15,341)","15,144 (4,650-37,996)","1,395 (322-4,015)","3,072 (853-8,037)","1,915 (531-5,008)","1,362 (378-3,562)","63,820 (20,103-156,527)","110,554 (34,680-272,475)"
MCAV,<4cm,"9,317 (5,301-15,573)","1,533 (988-2,315)","5,816 (3,882-8,541)","5,720 (3,807-8,438)","25,705 (17,091-37,890)","16,770 (11,114-24,827)","45,202 (30,015-66,593)","2,939 (1,613-4,939)","6,971 (3,233-13,184)","4,344 (2,015-8,216)","3,090 (1,433-5,843)","186,746 (124,060-275,042)","314,153 (207,828-465,588)"
MCAV,>4cm,"15,292 (8,974-24,755)","2,135 (1,426-3,122)","8,060 (5,524-11,621)","7,900 (5,402-11,430)","35,195 (24,101-50,719)","22,975 (15,675-33,226)","60,488 (41,418-87,203)","3,361 (1,934-5,508)","10,728 (5,107-19,659)","6,686 (3,182-12,251)","4,755 (2,263-8,712)","259,722 (176,678-376,211)","437,297 (296,662-636,814)"
MEAN,<4cm,"563 (252-1,087)",165 (79-302),502 (251-891),497 (248-885),"2,295 (1,143-4,084)","1,521 (756-2,722)","3,976 (1,975-7,117)",384 (171-747),335 (126-730),209 (78-455),149 (56-323),"15,214 (7,628-27,049)","25,809 (12,908-45,929)"
MMEA,>4cm,"1,702 (787-3,203)",212 (106-373),"692 (361-1,192)","674 (351-1,163)","2,978 (1,553-5,118)","1,966 (1,026-3,389)","4,727 (2,484-8,099)",219 (87-455),"973 (353-2,135)","606 (220-1,331)",431 (156-946),"21,807 (11,261-37,921)","36,988 (19,021-64,625)"
MUSS,<4cm,"758 (182-2,151)",132 (34-368),"450 (135-1,171)","455 (136-1,191)","2,055 (608-5,387)","1,370 (403-3,594)","3,532 (1,037-9,252)",330 (66-999),"682 (148-2,002)","425 (92-1,248)",302 (66-887),"14,459 (4,428-37,234)","24,949 (7,570-64,717)"
MYCE,>4cm,"432 (143-1,004)",60 (21-134),198 (74-426),189 (71-407),"841 (316-1,813)","548 (205-1,183)","1,363 (517-2,916)",48 (9-138),196 (46-541),122 (29-337),87 (20-240),"6,126 (2,314-13,148)","10,209 (3,839-21,977)"
ORBI,<4cm,14 (1-58),3 (0-11),8 (1-31),8 (1-31),38 (5-140),25 (3-94),62 (8-228),5 (0-21),7 (0-31),4 (0-19),3 (0-14),254 (32-940),"432 (54-1,602)"
ORBI,>4cm,405 (136-949),38 (14-84),163 (61-353),160 (60-346),"697 (262-1,506)",455 (171-984),"1,175 (445-2,522)",43 (14-101),311 (93-793),194 (58-494),138 (41-351),"5,454 (2,035-11,872)","9,233 (3,437-20,121)"
PCLI,>4cm,62 (7-195),157 (62-327),380 (151-789),388 (154-806),"1,868 (739-3,882)","1,270 (502-2,635)","3,264 (1,289-6,771)","505 (196-1,052)",34 (0-127),21 (0-79),15 (0-56),"10,742 (4,275-22,210)","18,705 (7,435-38,673)"
PORI,<4cm,"33,927 (16,018-64,678)","3,874 (2,348-6,159)","14,724 (8,862-23,691)","15,061 (9,029-24,343)","66,576 (40,196-106,461)","44,635 (26,886-71,496)","112,411 (68,001-179,128)","9,600 (5,354-16,211)","33,546 (14,774-65,985)","20,906 (9,207-41,122)","14,867 (6,548-29,244)","495,869 (291,627-815,897)","865,996 (505,725-1,431,176)"
PORI,>4cm,"57,979 (30,066-102,156)","5,504 (3,591-8,275)","22,681 (14,616-34,381)","22,844 (14,592-34,855)","99,676 (64,423-150,845)","66,075 (42,550-100,238)","167,206 (108,413-251,698)","10,093 (5,791-16,544)","52,096 (23,951-97,042)","32,466 (14,926-60,477)","23,088 (10,615-43,008)","770,642 (481,451-1,198,545)","1,330,351 (824,166-2,080,603)"
PSTR,>4cm,"619 (285-1,185)",283 (157-477),"909 (540-1,444)","889 (525-1,416)","4,136 (2,433-6,601)","2,700 (1,579-4,338)","7,460 (4,400-11,829)","666 (333-1,192)",239 (74-567),149 (46-354),106 (33-251),"27,330 (16,308-43,245)","45,485 (27,024-72,362)"
SIDE,<4cm,"63,620 (38,478-101,044)","37,673 (24,327-55,864)","105,674 (71,677-151,310)","106,357 (71,790-152,802)","500,971 (335,484-723,725)","335,455 (223,628-486,263)","883,508 (594,731-1,273,428)","110,069 (67,245-169,000)","46,821 (22,799-84,188)","29,179 (14,208-52,466)","20,750 (10,104-37,311)","3,131,578 (2,143,618-4,463,469)","5,371,655 (3,658,976-7,688,468)"
SIDE,>4cm,"22,951 (14,156-35,524)","4,769 (3,307-6,725)","17,256 (12,420-23,505)","16,881 (12,117-23,115)","76,614 (55,024-104,896)","49,880 (35,716-68,423)","135,808 (97,371-185,268)","9,389 (5,786-14,564)","15,093 (7,460-26,880)","9,406 (4,649-16,752)","6,689 (3,306-11,913)","542,634 (390,021-740,857)","907,370 (650,935-1,243,120)"
SINT,<4cm,"6,917 (3,587-12,236)","1,205 (720-1,908)","4,066 (2,490-6,360)","4,052 (2,474-6,374)","18,294 (11,185-28,871)","12,126 (7,388-19,181)","31,242 (19,111-49,131)","2,574 (1,394-4,388)","5,304 (2,299-10,390)","3,306 (1,433-6,475)","2,351 (1,019-4,605)","128,992 (78,509-204,071)","220,429 (133,588-349,839)"
