taxon,class,Nearshore Ridge Complex,Inner Reef,Middle Reef,Outer Reef
ACER,<4cm,0.00022 [0.000035<e2><80><93>0.00076],0.000084 [0.00000041<e2><80><93>0.00050],0.00010 [0.00000038<e2><80><93>0.00063],0.000038 [0.00000026<e2><80><93>0.00020]
ACER,>4cm,0.015 [0.0045<e2><80><93>0.041],0.00032 [0.000039<e2><80><93>0.0013],0.00037 [0.0000036<e2><80><93>0.0019],0.00014 [0.000013<e2><80><93>0.00057]
ACER,All,0.016 [0.0047<e2><80><93>0.041],0.00040 [0.000058<e2><80><93>0.0015],0.00047 [0.000012<e2><80><93>0.0023],0.00017 [0.000021<e2><80><93>0.00068]
AGAR,<4cm,0.0020 [0.00035<e2><80><93>0.0065],0.0050 [0.00063<e2><80><93>0.017],0.0029 [0.00035<e2><80><93>0.0097],0.0078 [0.0016<e2><80><93>0.023]
AGAR,>4cm,0.0066 [0.0023<e2><80><93>0.014],0.012 [0.0041<e2><80><93>0.026],0.015 [0.0048<e2><80><93>0.036],0.027 [0.0088<e2><80><93>0.064]
AGAR,All,0.0086 [0.0036<e2><80><93>0.017],0.017 [0.0066<e2><80><93>0.035],0.018 [0.0066<e2><80><93>0.040],0.035 [0.013<e2><80><93>0.075]
CNAT,>4cm,0.00030 [0.000023<e2><80><93>0.0011],0.00067 [0.000026<e2><80><93>0.0028],0.00023 [0.0000012<e2><80><93>0.0014],0.0014 [0.00017<e2><80><93>0.0052]
DLAB,>4cm,0.00097 [0.00021<e2><80><93>0.0026],0.0016 [0.00026<e2><80><93>0.0050],0.0027 [0.00051<e2><80><93>0.0083],0.0013 [0.00024<e2><80><93>0.0042]
DSTO,>4cm,0.017 [0.0093<e2><80><93>0.029],0.019 [0.010<e2><80><93>0.033],0.0047 [0.0019<e2><80><93>0.0094],0.0038 [0.0016<e2><80><93>0.0083]
EFAS,>4cm,0.00094 [0.00019<e2><80><93>0.0026],0.011 [0.0040<e2><80><93>0.025],0.0086 [0.0025<e2><80><93>0.021],0.0047 [0.0012<e2><80><93>0.012]
FAVI,<4cm,0.0051 [0.0021<e2><80><93>0.010],0.0057 [0.0020<e2><80><93>0.013],0.0067 [0.0022<e2><80><93>0.015],0.0024 [0.00073<e2><80><93>0.0060]
MADR,<4cm,0.0018 [0.00033<e2><80><93>0.0055],0.0017 [0.00017<e2><80><93>0.0061],0.0016 [0.00012<e2><80><93>0.0069],0.011 [0.0024<e2><80><93>0.031]
MADR,>4cm,0.022 [0.0051<e2><80><93>0.064],0.010 [0.0025<e2><80><93>0.031],0.036 [0.0098<e2><80><93>0.097],0.051 [0.014<e2><80><93>0.13]
MADR,All,0.024 [0.0066<e2><80><93>0.066],0.012 [0.0036<e2><80><93>0.033],0.037 [0.011<e2><80><93>0.099],0.062 [0.021<e2><80><93>0.15]
MCAV,<4cm,0.047 [0.026<e2><80><93>0.079],0.13 [0.076<e2><80><93>0.20],0.095 [0.053<e2><80><93>0.16],0.12 [0.054<e2><80><93>0.22]
MCAV,>4cm,0.054 [0.031<e2><80><93>0.088],0.16 [0.098<e2><80><93>0.26],0.18 [0.10<e2><80><93>0.29],0.18 [0.085<e2><80><93>0.33]
MCAV,All,0.10 [0.066<e2><80><93>0.15],0.29 [0.20<e2><80><93>0.41],0.27 [0.18<e2><80><93>0.40],0.30 [0.15<e2><80><93>0.51]
MEAN,<4cm,0.0061 [0.0027<e2><80><93>0.012],0.0073 [0.0031<e2><80><93>0.015],0.0083 [0.0033<e2><80><93>0.017],0.0056 [0.0021<e2><80><93>0.012]
MMEA,>4cm,0.0035 [0.0014<e2><80><93>0.0073],0.0079 [0.0032<e2><80><93>0.016],0.027 [0.012<e2><80><93>0.052],0.016 [0.0059<e2><80><93>0.036]
MUSS,<4cm,0.0053 [0.0011<e2><80><93>0.016],0.0044 [0.00056<e2><80><93>0.016],0.0042 [0.00052<e2><80><93>0.016],0.011 [0.0025<e2><80><93>0.033]
MYCE,>4cm,0.00077 [0.00015<e2><80><93>0.0022],0.0037 [0.00093<e2><80><93>0.0096],0.0084 [0.0025<e2><80><93>0.020],0.0033 [0.00077<e2><80><93>0.0090]
ORBI,<4cm,0.000080 [0.0000069<e2><80><93>0.00033],0.000093 [0.00000026<e2><80><93>0.00037],0.00024 [0.0000055<e2><80><93>0.0012],0.00012 [0.0000082<e2><80><93>0.00051]
ORBI,>4cm,0.00069 [0.00023<e2><80><93>0.0016],0.0031 [0.0010<e2><80><93>0.0070],0.0039 [0.0012<e2><80><93>0.0097],0.0052 [0.0016<e2><80><93>0.013]
ORBI,All,0.00077 [0.00028<e2><80><93>0.0017],0.0032 [0.0011<e2><80><93>0.0072],0.0042 [0.0013<e2><80><93>0.010],0.0053 [0.0016<e2><80><93>0.013]
