dataset,Nearshore Ridge Complex,Inner Reef,Middle Reef,Outer Reef,Sand/Scattered Rock,Total Sites,area_per_site,total_area,total_n,dataset2
nsu11_esa,85,94,83,111,0,373,3600,1342800,11871,2011 / NSU ESA
dca17_esa,92,17,21,25,0,155,784,121520,3620,2017 / DCA ESA
dca17,62,22,26,85,0,195,30,5850,9489,2017 / DCA Recon
tt21,7,6,5,17,0,35,3.9 - 784,24314,2172,2021 / Tetra Tech
tt23,81,19,34,38,0,172,10 - 20,3180,5691,2023 / Tetra Tech
drm24,25,15,6,0,0,46,20 - 40,1840,2566,2024 / Shedd
berry_conch,55,16,0,0,2,73,240,17520,123,2012 / Berry et al.
penip_radial_conch,94,0,0,0,2,96,314.2,30159,644,2024 / Radial Survey
penip_drift_conch,302,41,7,0,46,396,1 - 80,30975,135,2024 / Drift Survey
Total,803,230,182,276,50,1541,-,1578158,36311,Total
