name,ACER,ORBI,non-ESA,Total,cum_ACER,cum_ORBI,cum_non_ESA,cum_Total
Channel,31 (6-106),419 (146-971),"237,567 (158,616-345,160)","238,017 (159,118-345,941)",31 (6-106),419 (146-971),"237,567 (158,616-345,160)","238,017 (159,118-345,941)"
Side Slopes,298 (89-773),41 (16-89),"62,675 (48,304-81,754)","63,014 (48,617-82,111)",329 (98-861),"460 (164-1,048)","300,242 (216,959-410,980)","301,031 (217,644-411,772)"
Depth_10cm,"703 (212-1,828)",171 (68-365),"197,743 (157,698-249,801)","198,617 (158,601-250,686)","1,032 (310-2,698)","632 (234-1,396)","497,985 (382,880-646,835)","499,648 (384,709-648,875)"
Depth_5cm,"720 (217-1,871)",168 (67-358),"198,099 (157,263-251,230)","198,987 (158,002-252,227)","1,752 (526-4,574)","800 (302-1,748)","696,084 (544,231-891,242)","698,636 (546,655-893,733)"
Depth_1cm,"3,485 (1,048-9,062)","735 (292-1,557)","910,938 (721,301-1,159,508)","915,158 (725,284-1,163,424)","5,237 (1,572-13,626)","1,535 (598-3,294)","1,607,022 (1,272,338-2,037,410)","1,613,794 (1,279,779-2,045,641)"
Depth_0_5cm,"2,376 (714-6,174)","480 (191-1,015)","606,007 (477,561-774,130)","608,862 (480,352-777,109)","7,613 (2,286-19,745)","2,015 (789-4,309)","2,213,029 (1,753,446-2,811,324)","2,222,656 (1,762,171-2,820,881)"
Depth_0_1cm,"6,097 (1,836-15,840)","1,237 (493-2,604)","1,587,546 (1,259,585-2,019,672)","1,594,880 (1,265,551-2,025,120)","13,710 (4,123-35,630)","3,251 (1,288-6,916)","3,800,575 (3,016,831-4,819,873)","3,817,536 (3,032,825-4,836,071)"
Nearshore,"983 (293-2,560)",48 (17-109),"160,994 (115,732-221,278)","162,025 (116,651-222,303)","14,693 (4,419-38,195)","3,299 (1,306-7,006)","3,961,569 (3,136,898-5,035,696)","3,979,561 (3,152,421-5,061,090)"
North,10 (1-41),318 (98-804),"189,410 (105,671-304,985)","189,738 (105,867-305,411)","14,703 (4,422-38,204)","3,618 (1,418-7,716)","4,150,979 (3,275,889-5,287,311)","4,169,299 (3,294,195-5,306,236)"
East,7 (1-25),198 (61-501),"118,040 (65,854-190,066)","118,244 (65,976-190,332)","14,710 (4,422-38,209)","3,816 (1,483-8,194)","4,269,018 (3,360,205-5,450,095)","4,287,544 (3,379,639-5,470,209)"
South,5 (1-18),141 (43-356),"83,944 (46,832-135,165)","84,089 (46,919-135,354)","14,714 (4,423-38,213)","3,957 (1,534-8,515)","4,352,962 (3,421,556-5,557,608)","4,371,633 (3,437,611-5,577,677)"
Rest of Monitoring Area,"19,696 (5,932-51,118)","5,708 (2,241-12,207)","6,121,074 (4,877,709-7,728,326)","6,146,478 (4,897,672-7,752,609)","34,411 (10,355-89,385)","9,665 (3,771-20,723)","10,474,036 (8,298,206-13,280,071)","10,518,111 (8,332,732-13,334,722)"
