Site Code,# Juv,# Adult,ReproductiveActivity,Habitat Description
001PEV04122024,3,0,0,reef rubble and sand
002PEV04122024,1,4,0,sand
003PEV04122024,1,10,0,sand
004PEV04122024,3,8,0,reef rubble
005PEV04122024,9,0,0,reef rubble/colonized pavement
006PEV04122024,0,10,2,sand
007PEV04122024,1,14,3,colonized pavement
008PEV04122024,0,3,0,sand
009PEV04122024,0,2,0,sand
010PEV04122024,3,0,0,colonized pavement >90% macroalgae
011PEV04122024,9,0,0,colonized pavement >90% macroalgae
012PEV04122024,3,4,1,50-90% macroalgae
013PEV04122024,5,6,1,50-90% macroalgae
014PEV04122024,0,3,2,50-90% macroalgae
015PEV04122024,2,6,0,50-90% macroalgae
016PEV04132024,15,0,0,50-90% macroalgae
017PEV04132024,6,0,0,colonized pavement with sand patches
018PEV04132024,4,1,0,reef rubble/sand
019PEV04132024,3,0,0,patchy macroalgae
020PEV04132024,4,4,1,colonized pavement 70% macroalgae
021PEV04132024,2,1,0,colonized pavement 70% macroalgae
022PEV04132024,0,0,0,colonized pavement >90% macroalgae
023PEV04132024,3,0,0,colonized pavement >90% macroalgae
024PEV04132024,1,0,0,colonized pavement >90% macroalgae
025PEV04132024,1,0,0,colonized pavement >50% macroalgae
026PEV04132024,1,1,0,colonized pavement 20% macroalgae
027PEV04132024,18,1,0,colonized pavement 20% macroalgae
028PEV04132024,9,0,0,colonized pavement 20% macroalgae
029PEV04142024,4,1,0,"hardbottom, mixed sand filled pockets, sparse live coral, macro"
030PEV04142024,6,1,0,"hardbottom, mixed sand filled pockets, sparse live coral, macro"
031PEV04142024,2,1,0,"majority sand, some hardbottom"
032PEV04142024,3,0,0,"hardbottom, mixed sand filled pockets, sparse live coral, macro"
033PEV04152024,0,1,0,"hardbottom, mixed sand filled pockets, sparse live coral, macro"
034PEV04152024,5,0,0,"hardbottom, mixed sand filled pockets, sparse live coral, macro"
035PEV04152024,1,0,0,"hardbottom, mixed sand filled pockets, sparse live coral, macro"
036PEV04152024,0,0,0,"hardbottom, dense wavy algae, mixed sand filled pockets, sparse live coral, macro"
037PEV04152024,0,0,0,"hardbottom, dense wavy algae, mixed sand filled pockets, sparse live coral, macro"
038PEV04152024,0,0,0,"majority sand, some hardbottom"
039PEV04152024,5,1,0,"hardbottom, dense wavy algae, mixed sand filled pockets, sparse live coral, macro"
040PEV04152024,17,5,0,"hardbottom, mixed sand filled pockets, sparse live coral, lots of gorgs, macro"
041PEV04152024,5,1,0,"hardbottom, dense wavy algae, mixed sand filled pockets, sparse live coral, macro"
042PEV04162024,1,6,0,sand w/ 10-50% macroalgae
043PEV04162024,8,18,2,sand w/ 10-50% macroalgae
044PEV04162024,1,4,0,sand w/ 10-50% macroalgae
045PEV04162024,2,0,0,no habitat
046PEV04162024,2,0,0,no habitat
047PEV04162024,6,0,0,no habitat
048PEV04162024,6,0,0,hardbottom with sparse sargassum and sand pockets; some octocorals and sparse stonies
